"ALQ121.Code.or.Value","ALQ121.Value.Description","ALQ121.Count","ALQ121.Cumulative","ALQ121.Skip.to.Item"
"0","Never in the last year",1049,1049,"ALQ151"
"1","Every day",142,1191,""
"2","Nearly every day",155,1346,""
"3","3 to 4 times a week",273,1619,""
"4","2 times a week",323,1942,""
"5","Once a week",340,2282,""
"6","2 to 3 times a month",606,2888,""
"7","Once a month",351,3239,""
"8","7 to 11 times in the last year",299,3538,""
"9","3 to 6 times in the last year",476,4014,""
"10","1 to 2 times in the last year",527,4541,""
"77","Refused",2,4543,""
"99","Don't know",2,4545,""
".","Missing",988,5533,""
