"ALQ280.Code.or.Value","ALQ280.Value.Description","ALQ280.Count","ALQ280.Cumulative","ALQ280.Skip.to.Item"
"0","Never in the last year",917,917,"ALQ151"
"1","Every day",9,926,""
"2","Nearly every day",16,942,""
"3","3 to 4 times a week",17,959,""
"4","2 times a week",28,987,""
"5","Once a week",44,1031,""
"6","2 to 3 times a month",46,1077,""
"7","Once a month",55,1132,""
"8","7 to 11 times in the last year",38,1170,""
"9","3 to 6 times in the last year",72,1242,""
"10","1 to 2 times in the last year",190,1432,""
"77","Refused",2,1434,""
"99","Don't know",5,1439,""
".","Missing",4094,5533,""
