"CVDEXCMT.Code.or.Value","CVDEXCMT.Value.Description","CVDEXCMT.Count","CVDEXCMT.Cumulative","CVDEXCMT.Skip.to.Item"
"0","None",2103,2103,NA
"1","Met exclusion criteria",873,2976,NA
"2","Pregnant more than 12 weeks",203,3179,NA
"3","Refusal",67,3246,NA
"4","No time",272,3518,NA
"5","Technical problem",688,4206,NA
"6","Met priority 1 stopping criteria",73,4279,NA
"7","Met priority 2 stopping criteria",314,4593,NA
"8","Not able to calculate VO2max",12,4605,NA
"90","Other",58,4663,NA
".","Missing",0,4663,NA
