"DMDEDUC3.Code.or.Value","DMDEDUC3.Value.Description","DMDEDUC3.Count","DMDEDUC3.Cumulative","DMDEDUC3.Skip.to.Item"
"0","Never attended / kindergarten only",184,184,NA
"1","1st grade",176,360,NA
"2","2nd grade",202,562,NA
"3","3rd grade",202,764,NA
"4","4th grade",179,943,NA
"5","5th grade",199,1142,NA
"6","6th grade",154,1296,NA
"7","7th grade",151,1447,NA
"8","8th grade",154,1601,NA
"9","9th grade",154,1755,NA
"10","10th grade",139,1894,NA
"11","11th grade",155,2049,NA
"12","12th grade, no diploma",20,2069,NA
"13","High school graduate",150,2219,NA
"14","GED or equivalent",5,2224,NA
"15","More than high school",71,2295,NA
"55","Less than 5th grade",0,2295,NA
"66","Less than 9th grade",11,2306,NA
"77","Refused",0,2306,NA
"99","Don't Know",0,2306,NA
".","Missing",6948,9254,NA
