"FFQ0100.Code.or.Value","FFQ0100.Value.Description","FFQ0100.Count","FFQ0100.Cumulative","FFQ0100.Skip.to.Item"
1,"never",1630,1630,NA
2,"1-6 times per year",1645,3275,NA
3,"7-11 times per year",779,4054,NA
4,"1 time per month",662,4716,NA
5,"2-3 times per month",660,5376,NA
6,"1 time per week",230,5606,NA
7,"2 times per week",181,5787,NA
8,"3-4 times per week",87,5874,NA
9,"5-6 times per week",35,5909,NA
10,"1 time per day",25,5934,NA
11,"2 or more times per day",13,5947,NA
88,"Blank",57,6004,NA
99,"Error",9,6013,NA
