"GTDCODE.Code.or.Value","GTDCODE.Value.Description","GTDCODE.Count","GTDCODE.Cumulative","GTDCODE.Skip.to.Item"
"0","OGTT complete",2084,2084,NA
"20","Hemophiliac",0,2084,NA
"21","Cancer chemotherapy within 4 weeks",0,2084,NA
"22","Diabetic on medications",322,2406,NA
"23","Refused venipuncture",0,2406,NA
"24","Ill/faint during test",4,2410,NA
"25","Venipuncture unsuccessful",12,2422,NA
"26","Currently pregnant",1,2423,NA
"27","Refused glucose challenge",85,2508,NA
"28","Fasting less than 9 hours",7,2515,NA
"29","Came late/left early",18,2533,NA
"30","Other",180,2713,NA
".","Missing",0,2713,NA
