"IND235.Code.or.Value","IND235.Value.Description","IND235.Count","IND235.Cumulative","IND235.Skip.to.Item"
"1","$0 - $399",272,272,NA
"2","$400 - $799",264,536,NA
"3","$800 - $1,249",649,1185,NA
"4","$1,250 - $1,649",558,1743,NA
"5","$1,650 - $2,099",705,2448,NA
"6","$2,100 - $2,899",888,3336,NA
"7","$2,900 - $3,749",911,4247,NA
"8","$3,750 - $4,599",727,4974,NA
"9","$4,600 - $5,399",543,5517,NA
"10","$5,400 - $6,249",372,5889,NA
"11","$6,250 - $8,399",594,6483,NA
"12","$8,400 and over",1000,7483,NA
"77","Refused",222,7705,NA
"99","Don't know",896,8601,NA
".","Missing",653,9254,NA
