"INDFMIN2.Code.or.Value","INDFMIN2.Value.Description","INDFMIN2.Count","INDFMIN2.Cumulative","INDFMIN2.Skip.to.Item"
"1","$ 0 to $ 4,999",340,340,NA
"2","$ 5,000 to $ 9,999",281,621,NA
"3","$10,000 to $14,999",454,1075,NA
"4","$15,000 to $19,999",556,1631,NA
"5","$20,000 to $24,999",555,2186,NA
"6","$25,000 to $34,999",1005,3191,NA
"7","$35,000 to $44,999",896,4087,NA
"8","$45,000 to $54,999",598,4685,NA
"9","$55,000 to $64,999",540,5225,NA
"10","$65,000 to $74,999",418,5643,NA
"12","$20,000 and Over",246,5889,NA
"13","Under $20,000",125,6014,NA
"14","$75,000 to $99,999",804,6818,NA
"15","$100,000 and Over",1576,8394,NA
"77","Refused",179,8573,NA
"99","Don't know",207,8780,NA
".","Missing",474,9254,NA
