"INDHHIN2.Code.or.Value","INDHHIN2.Value.Description","INDHHIN2.Count","INDHHIN2.Cumulative","INDHHIN2.Skip.to.Item"
"1","$ 0 to $ 4,999",282,282,NA
"2","$ 5,000 to $ 9,999",252,534,NA
"3","$10,000 to $14,999",399,933,NA
"4","$15,000 to $19,999",536,1469,NA
"5","$20,000 to $24,999",529,1998,NA
"6","$25,000 to $34,999",960,2958,NA
"7","$35,000 to $44,999",893,3851,NA
"8","$45,000 to $54,999",607,4458,NA
"9","$55,000 to $64,999",573,5031,NA
"10","$65,000 to $74,999",441,5472,NA
"12","$20,000 and Over",328,5800,NA
"13","Under $20,000",120,5920,NA
"14","$75,000 to $99,999",829,6749,NA
"15","$100,000 and Over",1624,8373,NA
"77","Refused",170,8543,NA
"99","Don't know",220,8763,NA
".","Missing",491,9254,NA
