"INDHHINC.Code.or.Value","INDHHINC.Value.Description","INDHHINC.Count","INDHHINC.Cumulative","INDHHINC.Skip.to.Item"
"1","$     0 to $ 4,999",255,255,NA
"2","$ 5,000 to $ 9,999",428,683,NA
"3","$10,000 to $14,999",803,1486,NA
"4","$15,000 to $19,999",801,2287,NA
"5","$20,000 to $24,999",818,3105,NA
"6","$25,000 to $34,999",1331,4436,NA
"7","$35,000 to $44,999",995,5431,NA
"8","$45,000 to $54,999",922,6353,NA
"9","$55,000 to $64,999",619,6972,NA
"10","$65,000 to $74,999",557,7529,NA
"11","$75,000 and Over",2195,9724,NA
"12","Over $20,000",186,9910,NA
"13","Under $20,000",74,9984,NA
"77","Refused",71,10055,NA
"99","Don't know",161,10216,NA
".","Missing",132,10348,NA
