"KIQ045.Code.or.Value","KIQ045.Value.Description","KIQ045.Count","KIQ045.Cumulative","KIQ045.Skip.to.Item"
"1","Every day,",190,190,NA
"1","Every day,",190,190,NA
"2","A few times a week,",231,421,NA
"2","A few times a week,",231,421,NA
"3","A few times a month, or",261,682,NA
"3","A few times a month, or",261,682,NA
"4","A few times a year?",353,1035,NA
"4","A few times a year?",353,1035,NA
"7","Refused",0,1035,NA
"7","Refused",0,1035,NA
"9","Don't know",1,1036,NA
"9","Don't know",1,1036,NA
".","Missing",4005,5041,NA
".","Missing",4005,5041,NA
