"LUANMTGP.Code.or.Value","LUANMTGP.Value.Description","LUANMTGP.Count","LUANMTGP.Cumulative","LUANMTGP.Skip.to.Item"
"0","Not done",415,415,NA
"1","1",1,416,NA
"3","3",1,417,NA
"4","4",1,418,NA
"5","5",2,420,NA
"6","6",1,421,NA
"9","9",2,423,NA
"10","10",1442,1865,NA
"11","11",778,2643,NA
"12","12",551,3194,NA
"13","13",495,3689,NA
"14","14",378,4067,NA
"15","15",347,4414,NA
"16","16",249,4663,NA
"17","17",189,4852,NA
"18","18",178,5030,NA
"19","19",149,5179,NA
"20","20 to 29",682,5861,NA
"30","30 or more",540,6401,NA
".","Missing",0,6401,NA
