"LUANMVGP.Code.or.Value","LUANMVGP.Value.Description","LUANMVGP.Count","LUANMVGP.Cumulative","LUANMVGP.Skip.to.Item"
"1","1",11,11,NA
"2","2",10,21,NA
"3","3",11,32,NA
"4","4",15,47,NA
"5","5",7,54,NA
"6","6",8,62,NA
"7","7",9,71,NA
"8","8",8,79,NA
"9","9",12,91,NA
"10","10",3170,3261,NA
"11","11",823,4084,NA
"12","12",547,4631,NA
"13","13",374,5005,NA
"14","14",274,5279,NA
"15","15",219,5498,NA
"16","16",134,5632,NA
"17","17",92,5724,NA
"18","18",74,5798,NA
"19","19",34,5832,NA
"20","20 to 29",98,5930,NA
"30","30 or more",20,5950,NA
".","Missing",451,6401,NA
