"OHD22CSC.Code.or.Value","OHD22CSC.Value.Description","OHD22CSC.Count","OHD22CSC.Cumulative","OHD22CSC.Skip.to.Item"
"Multiple surface conditions found","Value was recorded",118,118,NA
"0","Lingual surface caries",2,120,NA
"2","Facial surface caries",20,140,NA
"3","Mesial caries",9,149,NA
"4","Distal caries",4,153,NA
"5","Lingual surface restoration",13,166,NA
"7","Facial surface restoration",59,225,NA
"8","Mesial restoration",9,234,NA
"9","Distal restoration",24,258,NA
"< blank >","Missing",9340,9598,NA
