"OHD28CTC.Code.or.Value","OHD28CTC.Value.Description","OHD28CTC.Count","OHD28CTC.Cumulative","OHD28CTC.Skip.to.Item"
"D","Sound primary tooth",1370,1370,NA
"E","Missing due to dental disease",140,1510,NA
"K","Primary tooth with surface condition (s)",300,1810,NA
"M","Missing due to other causes",247,2057,NA
"R","Missing due to dental disease but replaced",533,2590,NA
"S","Sound permanent tooth",5428,8018,NA
"U","Unerupted",51,8069,NA
"X","Missing due to other causes but replaced",6,8075,NA
"Y","Tooth present, condition cannot be assessed",4,8079,NA
"Z","Permanent tooth with surface condition (s)",892,8971,NA
"< blank >","Missing",627,9598,NA
