"OHX11RSC.Code.or.Value","OHX11RSC.Value.Description","OHX11RSC.Count","OHX11RSC.Cumulative","OHX11RSC.Skip.to.Item"
"Coronal Caries: 2nd restoration code #11","Value was recorded",5,5,NA
"0","lingual AMALGAM restoration",0,5,NA
"1","occlusal AMALGAM restoration",0,5,NA
"2","facial AMALGAM restoration",1,6,NA
"3","mesial AMALGAM restoration",0,6,NA
"4","distal AMALGAM restoration",0,6,NA
"5","lingual OTHER restoration",0,6,NA
"6","occlusal OTHER restoration",0,6,NA
"7","facial OTHER restoration",1,7,NA
"8","mesial OTHER restoration",2,9,NA
"9","distal OTHER restoration",0,9,NA
"-1","Crown (non-specific full-coverage restoration)",0,9,NA
"< blank >","Missing",8357,8366,NA
