"OHX14CTC.Code.or.Value","OHX14CTC.Value.Description","OHX14CTC.Count","OHX14CTC.Cumulative","OHX14CTC.Skip.to.Item"
"A","Primary tooth with a restored surface condition",0,0,NA
"D","Sound primary tooth",0,0,NA
"E","Missing due to dental disease",642,642,NA
"F","Permanent tooth with a restored surface condition",2298,2940,NA
"J","Permanent root tip is present but no restorative replacement is present",88,3028,NA
"K","Primary tooth with a dental carious surface condition",0,3028,NA
"M","Missing due to other causes",16,3044,NA
"P","Missing due to dental disease but replaced by a removable restoration",723,3767,NA
"Q","Missing due to other causes but replaced by a removable restoration",31,3798,NA
"R","Missing due to dental disease but replaced by a fixed restoration",68,3866,NA
"S","Sound permanent tooth",3164,7030,NA
"T","Permanent root tip is present but a restorative replacement is present",0,7030,NA
"U","Unerupted",949,7979,NA
"X","Missing due to other causes but replaced by a fixed restoration",2,7981,NA
"Y","Tooth present, condition cannot be assessed",3,7984,NA
"Z","Permanent tooth with a dental carious surface condition",116,8100,NA
"< blank >","Missing",266,8366,NA
