"PAXDAYM.Code.or.Value","PAXDAYM.Value.Description","PAXDAYM.Count","PAXDAYM.Cumulative","PAXDAYM.Skip.to.Item"
"1","1st day of wear",3804932,3804932,NA
"2","2nd day of wear",11167821,14972753,NA
"3","3rd day of wear",11117277,26090030,NA
"4","4th day of wear",11069782,37159812,NA
"5","5th day of wear",11025325,48185137,NA
"6","6th day of wear",10984638,59169775,NA
"7","7th day of wear",10940806,70110581,NA
"8","8th day of wear",10891210,81001791,NA
"9","9th day of wear",7221688,88223479,NA
"< blank >","Missing",0,88223479,NA
