"PFD067B.Code.or.Value","PFD067B.Value.Description","PFD067B.Count","PFD067B.Cumulative","PFD067B.Skip.to.Item"
"10","Arthritis/rheumatism",37,37,NA
"11","Back or neck problem",253,290,NA
"12","Birth defect",5,295,NA
"13","Cancer",13,308,NA
"14","Depression/anxiety/emotional problem",61,369,NA
"15","Other developmental problem (such as cerebral palsy)",4,373,NA
"16","Diabetes",52,425,NA
"17","Fractures, bone/joint injury",103,528,NA
"18","Hearing problem",40,568,NA
"19","Heart problem",27,595,NA
"20","Hypertension/high blood pressure",30,625,NA
"21","Lung/breathing problem",39,664,NA
"22","Mental retardation",2,666,NA
"23","Other injury",21,687,NA
"24","Senility",7,694,NA
"25","Stroke problem",16,710,NA
"26","Vision/problem seeing",41,751,NA
"27","Weight problem",30,781,NA
"28","Other impairment/problem",95,876,NA
"77","Refused",0,876,NA
"99","Don't know",0,876,NA
".","Missing",9594,10470,NA
