"PFQ063C.Code.or.Value","PFQ063C.Value.Description","PFQ063C.Count","PFQ063C.Cumulative","PFQ063C.Skip.to.Item"
"10","Arthritis/rheumatism",28,28,NA
"11","Back or neck problem",40,68,NA
"12","Birth defect",8,76,NA
"13","Cancer",28,104,NA
"14","Depression/anxiety/emotional problem",138,242,NA
"15","Other developmental problem (such as cerebral palsy)",6,248,NA
"16","Diabetes",105,353,NA
"17","Fractures, bone/joint injury",120,473,NA
"18","Hearing problem",78,551,NA
"19","Heart problem",78,629,NA
"20","Hypertension/high blood pressure",123,752,NA
"21","Lung/breathing problem",57,809,NA
"22","Mental retardation",14,823,NA
"23","Other injury",22,845,NA
"24","Senility",3,848,NA
"25","Stroke problem",17,865,NA
"26","Vision/problem seeing",77,942,NA
"27","Weight problem",61,1003,NA
"28","Other impairment/problem",72,1075,NA
"77","Refused",0,1075,NA
"99","Don't know",0,1075,NA
".","Missing",7346,8421,NA
