"SMD100BR.Code.or.Value","SMD100BR.Value.Description","SMD100BR.Count","SMD100BR.Cumulative","SMD100BR.Skip.to.Item"
"305'S","305'S",20,20,NA
"305'S BLUE","305'S BLUE",3,23,NA
"305'S GOLD","305'S GOLD",1,24,NA
"BASIC","BASIC",2,26,NA
"BENSON & HEDGES","BENSON & HEDGES",3,29,NA
"BENSON & HEDGES GOLD","BENSON & HEDGES GOLD",1,30,NA
"BRONSON","BRONSON",1,31,NA
"CAMEL","CAMEL",8,39,NA
"CAMEL 99'S","CAMEL 99'S",3,42,NA
"CAMEL 99'S GOLD","CAMEL 99'S GOLD",2,44,NA
"CAMEL BLUE","CAMEL BLUE",7,51,NA
"CAMEL CRUSH","CAMEL CRUSH",24,75,NA
"CAMEL CRUSH FRESH","CAMEL CRUSH FRESH",6,81,NA
"CAMEL CRUSH SILVER","CAMEL CRUSH SILVER",6,87,NA
"CAMEL PLATINUM","CAMEL PLATINUM",1,88,NA
"CAMEL TURKISH ROYAL","CAMEL TURKISH ROYAL",1,89,NA
"CAPRI INDIGO","CAPRI INDIGO",1,90,NA
"CAPRI MAGENTA","CAPRI MAGENTA",1,91,NA
"CARNIVAL GREEN","CARNIVAL GREEN",1,92,NA
"CLASSIC","CLASSIC",2,94,NA
"CLASSIC RED","CLASSIC RED",1,95,NA
"COMMONWEALTH","COMMONWEALTH",4,99,NA
"CRAVEN A","CRAVEN A",1,100,NA
"DECADE","DECADE",2,102,NA
"DECADE GOLD","DECADE GOLD",1,103,NA
"DORAL","DORAL",2,105,NA
"DORAL GOLD","DORAL GOLD",2,107,NA
"DORAL RED","DORAL RED",1,108,NA
"EAGLE 20'S","EAGLE 20'S",3,111,NA
"EAGLE 20'S GOLD","EAGLE 20'S GOLD",1,112,NA
"EAGLE 20'S RED","EAGLE 20'S RED",1,113,NA
"EDGEFIELD","EDGEFIELD",2,115,NA
"EIGHT","EIGHT",1,116,NA
"FLAVOR DELUXE","FLAVOR DELUXE",1,117,NA
"GOLDEN BAY RED","GOLDEN BAY RED",1,118,NA
"HERON","HERON",1,119,NA
"KING MOUNTAIN GOLD","KING MOUNTAIN GOLD",1,120,NA
"KOOL","KOOL",23,143,NA
"KOOL SUPER LONGS","KOOL SUPER LONGS",10,153,NA
"L & M","L & M",21,174,NA
"L & M BLUE","L & M BLUE",1,175,NA
"L & M RED","L & M RED",3,178,NA
"LIGGETT SELECT SILVER","LIGGETT SELECT SILVER",1,179,NA
