"Table","Table Name","Data Group","Year"
"DEMO","Demographic Variables & Sample Weights","DEMOGRAPHICS",1999
"DRXIFF","Dietary Interview - Individual Foods","DIETARY",1999
"DRXTOT","Dietary Interview - Total Nutrient Intakes","DIETARY",1999
"DSQFILE1","Dietary Supplement Use 30-Day - File 1, Supplement Counts","DIETARY",1999
"DSQFILE2","Dietary Supplement Use 30-Day - File 2, Participant's Use of Supplements","DIETARY",1999
"BPX","Blood Pressure","EXAMINATION",1999
"BMX","Body Measures","EXAMINATION",1999
"CVX","Cardiovascular Fitness","EXAMINATION",1999
"AUX1","Audiometry","EXAMINATION",1999
"AUXTYM","Audiometry - Tympanometry","EXAMINATION",1999
"BIX","Bioelectrical Impedance Analysis","EXAMINATION",1999
"BAX","Balance","EXAMINATION",1999
"LEXABPI","Lower Extremity Disease - Ankle Brachial Blood Pressure Index","EXAMINATION",1999
"LEXPN","Lower Extremity Disease - Peripheral Neuropathy","EXAMINATION",1999
"MSX","Muscle Strength","EXAMINATION",1999
"OHXDENT","Oral Health - Dentition","EXAMINATION",1999
"OHXPERIO","Oral Health - Periodontal","EXAMINATION",1999
"OHXREF","Oral Health - Recommendation of Care","EXAMINATION",1999
"SEQ","Shared Exclusion Questions","EXAMINATION",1999
"TB","Tuberculosis","EXAMINATION",1999
"VIX","Vision","EXAMINATION",1999
"AUXAR","Audiometry - Acoustic Reflex","EXAMINATION",1999
"SSCHL_A","Sex Steroid Hormone - Men (Surplus)","LABORATORY",1999
"L02HBS","Hepatitis B Surface Antibody","LABORATORY",1999
"L02HPA_a","Hepatitis A Antibody","LABORATORY",1999
"PH","Fasting Questionnaire","LABORATORY",1999
"PHPYPA","Phthalates, Phytoestrogens & PAHs - Urine PHPYPA Urinary Phthalates","LABORATORY",1999
"UC","Pregnancy Test - Urine","LABORATORY",1999
"LAB03","HIV Antibody Test, CD4+ T Lymphocytes & CD8+ T Cells","LABORATORY",1999
"LAB04","Volatile Organic Compounds - Blood & Water","LABORATORY",1999
"LAB05","Chlamydia & Gonorrhea - Urine","LABORATORY",1999
"LAB06","Cadmium, Lead, Mercury, Cotinine & Nutritional Biochemistries","LABORATORY",1999
"LAB06HM","Metals - Urine","LABORATORY",1999
"LAB07","Latex","LABORATORY",1999
"LAB10","Glycohemoglobin","LABORATORY",1999
"LAB10AM","Plasma Fasting Glucose, Serum C-peptide & Insulin","LABORATORY",1999
"LAB11","C-Reactive Protein (CRP)","LABORATORY",1999
"Lab13","Cholesterol - Total & HDL","LABORATORY",1999
"LAB13AM","Cholesterol - LDL & Triglycerides","LABORATORY",1999
"LAB16","Albumin & Creatinine - Urine","LABORATORY",1999
"LAB17","Cryptosporidum & Toxoplasma","LABORATORY",1999
"LAB18","Standard Biochemistry Profile & Hormones","LABORATORY",1999
