"PFD067c.Code.or.Value","PFD067c.Value.Description","PFD067c.Count","PFD067c.Cumulative","PFD067c.Skip.to.Item"
"10","Arthritis/rheumatism",4,4,NA
"11","Back or neck problem",12,16,NA
"12","Birth defect",2,18,NA
"13","Cancer",4,22,NA
"14","Depression/anxiety/emotional problem",35,57,NA
"15","Other developmental problem (such as cerebral palsy)",0,57,NA
"16","Diabetes",28,85,NA
"17","Fractures, bone/joint injury",33,118,NA
"18","Hearing problem",24,142,NA
"19","Heart problem",37,179,NA
"20","Hypertension/high blood pressure",46,225,NA
"21","Lung/breathing problem",15,240,NA
"22","Mental retardation",2,242,NA
"23","Other injury",7,249,NA
"24","Senility",3,252,NA
"25","Stroke problem",9,261,NA
"26","Vision/problem seeing",43,304,NA
"27","Weight problem",27,331,NA
"28","Other impairment/problem",39,370,NA
"77","Refused",0,370,NA
"99","Don't know",0,370,NA
".","Missing",9123,9493,NA
