"PFD067e.Code.or.Value","PFD067e.Value.Description","PFD067e.Count","PFD067e.Cumulative","PFD067e.Skip.to.Item"
"10","Arthritis/rheumatism",2,2,NA
"11","Back or neck problem",1,3,NA
"12","Birth defect",0,3,NA
"13","Cancer",1,4,NA
"14","Depression/anxiety/emotional problem",1,5,NA
"15","Other developmental problem (such as cerebral palsy)",0,5,NA
"16","Diabetes",1,6,NA
"17","Fractures, bone/joint injury",1,7,NA
"18","Hearing problem",4,11,NA
"19","Heart problem",4,15,NA
"20","Hypertension/high blood pressure",8,23,NA
"21","Lung/breathing problem",9,32,NA
"22","Mental retardation",1,33,NA
"23","Other injury",4,37,NA
"24","Senility",0,37,NA
"25","Stroke problem",5,42,NA
"26","Vision/problem seeing",31,73,NA
"27","Weight problem",20,93,NA
"28","Other impairment/problem",11,104,NA
"77","Refused",0,104,NA
"99","Don't know",0,104,NA
".","Missing",9389,9493,NA
