"INDFMINC.Code.or.Value","INDFMINC.Value.Description","INDFMINC.Count","INDFMINC.Cumulative","INDFMINC.Skip.to.Item"
"1","$     0 to $ 4,999",562,562,NA
"2","$ 5,000 to $ 9,999",799,1361,NA
"3","$10,000 to $14,999",1093,2454,NA
"4","$15,000 to $19,999",1018,3472,NA
"5","$20,000 to $24,999",964,4436,NA
"6","$25,000 to $34,999",1195,5631,NA
"7","$35,000 to $44,999",967,6598,NA
"8","$45,000 to $54,999",832,7430,NA
"9","$55,000 to $64,999",609,8039,NA
"10","$65,000 to $74,999",462,8501,NA
"11","$75,000 and Over",1744,10245,NA
"12","Over $20,000",231,10476,NA
"13","Under $20,000",164,10640,NA
"77","Refused",97,10737,NA
"99","Don't know",109,10846,NA
".","Missing",193,11039,NA
