"OHD13CSC.Code.or.Value","OHD13CSC.Value.Description","OHD13CSC.Count","OHD13CSC.Cumulative","OHD13CSC.Skip.to.Item"
"Multiple surface conditions found","Value was recorded",1505,1505,NA
"0","Lingual surface caries",15,1520,NA
"1","Occlusal/incisal caries",34,1554,NA
"2","Facial surface caries",4,1558,NA
"3","Mesial caries",14,1572,NA
"4","Distal caries",5,1577,NA
"5","Lingual surface restoration",8,1585,NA
"6","Occlusal/incisal restoration",314,1899,NA
"7","Facial surface restoration",3,1902,NA
"8","Mesial restoration",2,1904,NA
"9","Distal restoration",2,1906,NA
"< blank >","Missing",7692,9598,NA
