"DR2CCMTX.Code.or.Value","DR2CCMTX.Value.Description","DR2CCMTX.Count","DR2CCMTX.Cumulative","DR2CCMTX.Skip.to.Item"
"0","Non-combination food",63123,63123,NA
"1","Beverage w/ additions",9142,72265,NA
"2","Cereal w/ additions",6472,78737,NA
"3","Bread/baked products w/ additions",6421,85158,NA
"4","Salad",5877,91035,NA
"5","Sandwiches",14402,105437,NA
"6","Soup",713,106150,NA
"7","Frozen meals",46,106196,NA
"8","Ice cream/frozen yogurt w/ additions",329,106525,NA
"9","Dried beans and vegetable w/ additions",4403,110928,NA
"10","Fruit w/ additions",371,111299,NA
"11","Tortilla products",3119,114418,NA
"12","Meat, poultry, fish",2540,116958,NA
"13","Lunchables",109,117067,NA
"14","Chips w/ additions",478,117545,NA
"90","Other mixtures",3326,120871,NA
".","Missing",0,120871,NA
