"FFQ0043A.Code.or.Value","FFQ0043A.Value.Description","FFQ0043A.Count","FFQ0043A.Cumulative","FFQ0043A.Skip.to.Item"
1,"never",443,443,NA
2,"1-6 times per season",794,1237,NA
3,"7-11 times per season",282,1519,NA
4,"1 time per month",278,1797,NA
5,"2-3 times per month",412,2209,NA
6,"1 time per week",302,2511,NA
7,"2 times per week",266,2777,NA
8,"3-4 times per week",131,2908,NA
9,"5-6 times per week",39,2947,NA
10,"1 time per day",25,2972,NA
11,"2 or more times per day",4,2976,NA
88,"Blank",3462,6438,NA
99,"Error",34,6472,NA
