"FFQ0130.Code.or.Value","FFQ0130.Value.Description","FFQ0130.Count","FFQ0130.Cumulative","FFQ0130.Skip.to.Item"
1,"never",4196,4196,"FFQ0131"
2,"Less than 1 time per month",548,4744,""
3,"1-3 times per month",355,5099,""
4,"1 time per week",170,5269,""
5,"2-4 times per week",247,5516,""
6,"5-6 times per week",99,5615,""
7,"1 time per day",369,5984,""
8,"2-3 times per day",248,6232,""
9,"4-5 times per day",33,6265,""
10,"6 or more times per day",30,6295,""
88,"Blank",161,6456,""
99,"Error",16,6472,""
