"INDFMINC.Code.or.Value","INDFMINC.Value.Description","INDFMINC.Count","INDFMINC.Cumulative","INDFMINC.Skip.to.Item"
"1","$     0 to $ 4,999",629,629,NA
"2","$ 5,000 to $ 9,999",732,1361,NA
"3","$10,000 to $14,999",1148,2509,NA
"4","$15,000 to $19,999",893,3402,NA
"5","$20,000 to $24,999",913,4315,NA
"6","$25,000 to $34,999",1214,5529,NA
"7","$35,000 to $44,999",909,6438,NA
"8","$45,000 to $54,999",753,7191,NA
"9","$55,000 to $64,999",470,7661,NA
"10","$65,000 to $74,999",379,8040,NA
"11","$75,000 and Over",1495,9535,NA
"12","Over $20,000",128,9663,NA
"13","Under $20,000",136,9799,NA
"77","Refused",84,9883,NA
"99","Don't know",81,9964,NA
".","Missing",158,10122,NA
