"INDHHINC.Code.or.Value","INDHHINC.Value.Description","INDHHINC.Count","INDHHINC.Cumulative","INDHHINC.Skip.to.Item"
"1","$     0 to $ 4,999",248,248,NA
"2","$ 5,000 to $ 9,999",550,798,NA
"3","$10,000 to $14,999",959,1757,NA
"4","$15,000 to $19,999",793,2550,NA
"5","$20,000 to $24,999",848,3398,NA
"6","$25,000 to $34,999",1353,4751,NA
"7","$35,000 to $44,999",1066,5817,NA
"8","$45,000 to $54,999",812,6629,NA
"9","$55,000 to $64,999",537,7166,NA
"10","$65,000 to $74,999",416,7582,NA
"11","$75,000 and Over",1792,9374,NA
"12","Over $20,000",26,9400,NA
"13","Under $20,000",42,9442,NA
"77","Refused",13,9455,NA
"99","Don't know",38,9493,NA
".","Missing",629,10122,NA
