"KIQ050.Code.or.Value","KIQ050.Value.Description","KIQ050.Count","KIQ050.Cumulative","KIQ050.Skip.to.Item"
"1","Not at all,",491,491,NA
"1","Not at all,",491,491,NA
"2","only a little,",566,1057,NA
"2","only a little,",566,1057,NA
"3","somewhat,",321,1378,NA
"3","somewhat,",321,1378,NA
"4","very much, or",162,1540,NA
"4","very much, or",162,1540,NA
"5","greatly",96,1636,NA
"5","greatly",96,1636,NA
"7","Refused",0,1636,NA
"7","Refused",0,1636,NA
"9","Don't know",2,1638,NA
"9","Don't know",2,1638,NA
".","Missing",3403,5041,NA
".","Missing",3403,5041,NA
