"OHQ030.Code.or.Value","OHQ030.Value.Description","OHQ030.Count","OHQ030.Cumulative","OHQ030.Skip.to.Item"
"1","6 months or less",3700,3700,""
"2","More than 6 months, but not more than 1 year ago",1686,5386,""
"3","More than 1 year, but not more than 2 years ago",1033,6419,""
"4","More than 2 years, but not more than 3 years ago",559,6978,""
"5","More than 3 years, but not more than 5 years ago",512,7490,""
"6","More than 5 years ago",1026,8516,""
"7","Never have been",775,9291,"OHQ075b"
"77","Refused",2,9293,""
"99","Don't know",11,9304,""
".","Missing",0,9304,""
