"DSD122U.Code.or.Value","DSD122U.Value.Description","DSD122U.Count","DSD122U.Cumulative","DSD122U.Skip.to.Item"
"1","Tablets, capsules, pills, caplets, softgels, gelcaps, vegicaps",7100,7100,NA
"2","Droppers",20,7120,NA
"3","Drops",10,7130,NA
"5","Injections/Shots",0,7130,NA
"6","Lozenges",3,7133,NA
"7","Milliliters",102,7235,NA
"10","Powder/Granules",0,7235,NA
"11","Tablespoons",63,7298,NA
"12","Teaspoons",120,7418,NA
"13","Wafers",1,7419,NA
"15","Cans",0,7419,NA
"16","Grams",13,7432,NA
"17","Dots",0,7432,NA
"18","Cups",2,7434,NA
"19","Spray/Squirts",0,7434,NA
"20","Chews",231,7665,NA
"21","Scoop",44,7709,NA
"22","CC",0,7709,NA
"23","Capful",7,7716,NA
"24","MG",0,7716,NA
"25","Units",0,7716,NA
"26","Gulp",0,7716,NA
"27","Ounces",12,7728,NA
"28","Packages/Packets",60,7788,NA
"29","Vial",0,7788,NA
"30","Gumball",18,7806,NA
"31","Strips",2,7808,NA
"77","Refused",0,7808,NA
"99","Don't know",0,7808,NA
".","Missing",158,7966,NA
