"KID221.Code.or.Value","KID221.Value.Description","KID221.Count","KID221.Cumulative","KID221.Skip.to.Item"
".",".",0,0,NA
"54","54",0,0,NA
"58","58",0,0,NA
"59","59",0,0,NA
"60","60",0,0,NA
"61","61",0,0,NA
"62","62",0,0,NA
"63","63",0,0,NA
"64","64",0,0,NA
"65","65",0,0,NA
"66","66",0,0,NA
"67","67",0,0,NA
"68","68",0,0,NA
"69","69",0,0,NA
"70","70",0,0,NA
"71","71",0,0,NA
"72","72",0,0,NA
"73","73",0,0,NA
"75","75",0,0,NA
"76","76",0,0,NA
"77","77",0,0,NA
"78","78",0,0,NA
"79","79",0,0,NA
"80","80",0,0,NA
"81","81",0,0,NA
"85 or greater","85 or greater",3,3,NA
"< blank >","Missing",0,3,NA
