"OPASCCT1.Code.or.Value","OPASCCT1.Value.Description","OPASCCT1.Count","OPASCCT1.Cumulative","OPASCCT1.Skip.to.Item"
"1","Safety exclusion",3,3,NA
"2","SP refusal",81,84,NA
"3","No time",14,98,NA
"4","Physical limitation",45,143,NA
"5","Communication problem",27,170,NA
"6","Equipment failure",11,181,NA
"7","SP ill/emergency",17,198,NA
"12","Eye specific limitation",45,243,NA
"14","Interrupted",1,244,NA
"40","Unable to follow protocol",7,251,NA
"56","Came late/left early",198,449,NA
"72","Error (technician/software/supply)",11,460,NA
"84","SP with child",15,475,NA
"86","SP Blind",1,476,NA
"87","Wheelchair bound",1,477,NA
".","Missing",2457,2934,NA
