"OPDDRET.Code.or.Value","OPDDRET.Value.Description","OPDDRET.Count","OPDDRET.Cumulative","OPDDRET.Skip.to.Item"
"10","No retinopathy",2105,2105,NA
"12","Non-diabetic retinal disease specific retinopathy",24,2129,NA
"13","Questionable retinopathy",59,2188,NA
"14","HE, SE, IRMA, VL but no MAS",7,2195,NA
"15","HEM only, no MAS",35,2230,NA
"20","MAS only",83,2313,NA
"31","Early NPR",38,2351,NA
"41","Moderate NPR",42,2393,NA
"51","Severe NPR",4,2397,NA
"60","Fibrous prolif. only",3,2400,NA
"61","No retinopathy but PRP laser",0,2400,NA
"62","MAS only +  PRP laser",0,2400,NA
"63","Early NPR + PRP laser",2,2402,NA
"64","Moderate/severe NPR + PRP laser",1,2403,NA
"65","PR < HRC",3,2406,NA
"70","PR >= HRC",0,2406,NA
"80","Total VH",0,2406,NA
".","Missing",528,2934,NA
