"OPDSREA.Code.or.Value","OPDSREA.Value.Description","OPDSREA.Count","OPDSREA.Cumulative","OPDSREA.Skip.to.Item"
"0","None",2411,2411,NA
"1","Trauma",0,2411,NA
"2","Laser RX",18,2429,NA
"3","Vessel occlusion",1,2430,NA
"4","Macular dystrophy",1,2431,NA
"5","Myopic degeneration",1,2432,NA
"6","Histoplasmosis/toxoplasmosis",1,2433,NA
"7","Inflammatory lesion",1,2434,NA
"9","Retinopathy of prematurity",0,2434,NA
"10","Non-ARM RPE abnormality",4,2438,NA
"11","Non-ARM detachment",0,2438,NA
"12","Unknown etiology",2,2440,NA
"15","Other",8,2448,NA
"16","Coloboma/staphyloma",0,2448,NA
"99","No photos of eye",20,2468,NA
".","Missing",466,2934,NA
