"OCD392.Code.or.Value","OCD392.Value.Description","OCD392.Count","OCD392.Cumulative","OCD392.Skip.to.Item"
"1","Management Occupations",181,181,NA
"2","Business, Financial Operations Occupations",74,255,NA
"3","Computer, Mathematical Occupations",32,287,NA
"4","Architecture, Engineering Occupations",65,352,NA
"5","Life, Physical, Social Science Occupations",32,384,NA
"6","Community, Social Services Occupations",32,416,NA
"7","Legal Occupations",16,432,NA
"8","Education, Training, Library Occupations",168,600,NA
"9","Arts, Design, Entertainment, Sports, Media Occupations",58,658,NA
"10","Healthcare Practitioner, Technical Occupations",127,785,NA
"11","Healthcare Support Occupations",109,894,NA
"12","Protective Service Occupations",62,956,NA
"13","Food Preparation, Serving Occupations",302,1258,NA
"14","Building & Grounds Cleaning, Maintenance Occupations",188,1446,NA
"15","Personal Care, Service Occupations",112,1558,NA
"16","Sales & Related Occupations",375,1933,NA
"17","Office, Administrative Support Occupations",459,2392,NA
"18","Farming, Fishing, Forestry Occupations",76,2468,NA
"19","Construction, Extraction Occupations",295,2763,NA
"20","Installation, Maintenance, Repair Occupations",134,2897,NA
"21","Production Occupations",539,3436,NA
"22","Transportation, Material Moving Occupations",260,3696,NA
"23","Armed Forces",32,3728,NA
"98","Text present but uncodable",0,3728,NA
"99","Blank but applicable",0,3728,NA
".","Missing",2818,6546,NA
