"DR1_030Z.Code.or.Value","DR1_030Z.Value.Description","DR1_030Z.Count","DR1_030Z.Cumulative","DR1_030Z.Skip.to.Item"
"1","Breakfast",25792,25792,NA
"2","Lunch",28762,54554,NA
"3","Dinner",29433,83987,NA
"4","Supper",8332,92319,NA
"5","Brunch",1130,93449,NA
"6","Snack",23992,117441,NA
"7","Drink",6901,124342,NA
"8","Infant feeding",2595,126937,NA
"9","Extended consumption",4851,131788,NA
"10","Desayano",3691,135479,NA
"11","Almuerzo",3133,138612,NA
"12","Comida",3459,142071,NA
"13","Merienda",1341,143412,NA
"14","Cena",4168,147580,NA
"15","Entre comida",582,148162,NA
"16","Botana",832,148994,NA
"17","Bocadillo",691,149685,NA
"18","Tentempie",63,149748,NA
"19","Bebida",1243,150991,NA
"91","Other",0,150991,NA
"99","Don't know",0,150991,NA
".","Missing",0,150991,NA
