"IND235.Code.or.Value","IND235.Value.Description","IND235.Count","IND235.Cumulative","IND235.Skip.to.Item"
"1","$0 - $399",334,334,NA
"2","$400 - $799",530,864,NA
"3","$800 - $1249",1318,2182,NA
"4","$1250 - $1649",922,3104,NA
"5","$1650 - $2099",1005,4109,NA
"6","$2100 - $2899",952,5061,NA
"7","$2900 - $3749",972,6033,NA
"8","$3750 - $4599",780,6813,NA
"9","$4600 - $5399",513,7326,NA
"10","$5400 - $6249",459,7785,NA
"11","$6250 - $8399",552,8337,NA
"12","$8400 and over",863,9200,NA
"77","Refused",262,9462,NA
"99","Don't know",567,10029,NA
".","Missing",508,10537,NA
