"INDFMIN2.Code.or.Value","INDFMIN2.Value.Description","INDFMIN2.Count","INDFMIN2.Cumulative","INDFMIN2.Skip.to.Item"
"1","$     0 to $ 4,999",372,372,NA
"2","$ 5,000 to $ 9,999",513,885,NA
"3","$10,000 to $14,999",842,1727,NA
"4","$15,000 to $19,999",750,2477,NA
"5","$20,000 to $24,999",913,3390,NA
"6","$25,000 to $34,999",1341,4731,NA
"7","$35,000 to $44,999",891,5622,NA
"8","$45,000 to $54,999",766,6388,NA
"9","$55,000 to $64,999",581,6969,NA
"10","$65,000 to $74,999",394,7363,NA
"12","Over $20,000",356,7719,NA
"13","Under $20,000",133,7852,NA
"14","$75,000 to $99,999",844,8696,NA
"15","$100,000 and Over",1334,10030,NA
"77","Refused",220,10250,NA
"99","Don't know",215,10465,NA
".","Missing",72,10537,NA
