"MCQ230C.Code.or.Value","MCQ230C.Value.Description","MCQ230C.Count","MCQ230C.Cumulative","MCQ230C.Skip.to.Item"
"10","Bladder",0,0,NA
"11","Blood",0,0,NA
"12","Bone",1,1,NA
"13","Brain",0,1,NA
"14","Breast",0,1,NA
"15","Cervix (cervical)",0,1,NA
"16","Colon",2,3,NA
"17","Esophagus (esophageal)",0,3,NA
"18","Gallbladder",0,3,NA
"19","Kidney",0,3,NA
"20","Larynx/ windpipe",0,3,NA
"21","Leukemia",0,3,NA
"22","Liver",1,4,NA
"23","Lung",0,4,NA
"24","Lymphoma/Hodgkin's disease",0,4,NA
"25","Melanoma",2,6,NA
"26","Mouth/tongue/lip",0,6,NA
"27","Nervous system",0,6,NA
"28","Ovary (ovarian)",0,6,NA
"29","Pancreas (pancreatic)",0,6,NA
"30","Prostate",0,6,NA
"31","Rectum (rectal)",0,6,NA
"32","Skin (non-melanoma)",0,6,NA
"33","Skin (don't know what kind)",1,7,NA
"34","Soft tissue (muscle or fat)",0,7,NA
"35","Stomach",0,7,NA
"36","Testis (testicular)",0,7,NA
"37","Thyroid",2,9,NA
"38","Uterus (uterine)",0,9,NA
"39","Other",0,9,NA
"66","More than 3 kinds",0,9,NA
"77","Refused",0,9,NA
"99","Don't know",0,9,NA
".","Missing",10100,10109,NA
