"OSQ100a.Code.or.Value","OSQ100a.Value.Description","OSQ100a.Count","OSQ100a.Cumulative","OSQ100a.Skip.to.Item"
"10","HEAD/FACE",7,7,NA
"11","UPPER ARM (HUMERUS)",3,10,NA
"12","LOWER ARM BETWEEN WRIST AND ELBOW (DO NOT INCLUDE WRIST)",9,19,NA
"13","ELBOW",6,25,NA
"14","HAND",21,46,NA
"15","FINGERS",69,115,NA
"16","SHOULDER",4,119,NA
"17","COLLAR BONE",8,127,NA
"18","RIBS (EITHER SIDE)",16,143,NA
"19","PELVIS (NOT HIP)",1,144,NA
"20","UPPER LEG (THIGH EXCLUDING HIP)",4,148,NA
"21","LOWER LEG (BETWEEN ANKLE AND KNEE)",13,161,NA
"22","KNEE (PATELLA)",6,167,NA
"23","ANKLE",58,225,NA
"24","HEEL",1,226,NA
"25","FOOT",44,270,NA
"26","TOES",49,319,NA
"27","OTHER (DO NOT SPECIFY)",4,323,NA
"77","Refused",0,323,NA
"99","Don't know",0,323,NA
".","Missing",5895,6218,NA
