"DR2MNRSP.Code.or.Value","DR2MNRSP.Value.Description","DR2MNRSP.Count","DR2MNRSP.Cumulative","DR2MNRSP.Skip.to.Item"
"1","SP",5436,5436,NA
"2","Mother of SP",1807,7243,NA
"3","Father of SP",182,7425,NA
"4","Wife of SP",30,7455,NA
"5","Husband of SP",6,7461,NA
"6","Daughter of SP",35,7496,NA
"7","Son of SP",10,7506,NA
"8","Grandparent of SP",42,7548,NA
"9","Friend, Partner, Non Relative",5,7553,NA
"10","Translator, not a HH member",1,7554,NA
"11","Child care provider, Caretaker",10,7564,NA
"12","Other Relative",40,7604,NA
"13","Other specify",0,7604,NA
"77","Refused",0,7604,NA
"99","Don't know",0,7604,NA
".","Missing",1734,9338,NA
