"DR2FS.Code.or.Value","DR2FS.Value.Description","DR2FS.Count","DR2FS.Cumulative","DR2FS.Skip.to.Item"
"1","Store - grocery/supermarket",77469,77469,NA
"2","Restaurant with waiter/waitress",5512,82981,NA
"3","Restaurant fast food/pizza",7701,90682,NA
"4","Bar/tavern/lounge",52,90734,NA
"5","Restaurant no additional information",7,90741,NA
"6","Cafeteria NOT in a K-12 school",1059,91800,NA
"7","Cafeteria in a K-12 school",3838,95638,NA
"8","Child/Adult care center",365,96003,NA
"9","Child/Adult home care",49,96052,NA
"10","Soup kitchen/shelter/food pantry",32,96084,NA
"11","Meals on Wheels",40,96124,NA
"12","Community food program - other",166,96290,NA
"13","Community program no additional information",0,96290,NA
"14","Vending machine",313,96603,NA
"15","Common coffee pot or snack tray",368,96971,NA
"16","From someone else/gift",3585,100556,NA
"17","Mail order purchase",207,100763,NA
"18","Residential dining facility",130,100893,NA
"19","Grown or caught by you or someone you know",296,101189,NA
"20","Fish caught by you or someone you know",18,101207,NA
"24","Sport, recreation, or entertainment facility",234,101441,NA
"25","Street vendor, vending truck",180,101621,NA
"26","Fundraiser sales",79,101700,NA
"27","Store - convenience type",2239,103939,NA
"28","Store - no additional info",33,103972,NA
"91","Other, specify",0,103972,NA
"99","Don't know",87,104059,NA
".","Missing",8519,112578,NA
