"OHX29CTC.Code.or.Value","OHX29CTC.Value.Description","OHX29CTC.Count","OHX29CTC.Cumulative","OHX29CTC.Skip.to.Item"
"D","Sound primary tooth",1360,1360,NA
"E","Missing due to dental disease",386,1746,NA
"J","Permanent root tip is present but no restorative replacement is present",88,1834,NA
"K","Primary tooth with surface condition (s)",498,2332,NA
"M","Missing due to other causes",6,2338,NA
"P","Missing due to dental disease, but replaced by a removable restoration",488,2826,NA
"Q","Missing due to other causes, but replaced by a removable restoration",21,2847,NA
"R","Missing due to dental disease, but replaced by a fixed restoration",70,2917,NA
"S","Sound permanent tooth",4148,7065,NA
"T","Permanent root tip is present but a restorative replacement is present",0,7065,NA
"U","Unerupted",311,7376,NA
"X","Missing due to other causes, but replaced by a fixed restoration",2,7378,NA
"Y","Tooth present, condition cannot be assessed",32,7410,NA
"Z","Permanent tooth with surface condition (s)",1555,8965,NA
"< blank >","Missing",457,9422,NA
