"PFQ063E.Code.or.Value","PFQ063E.Value.Description","PFQ063E.Count","PFQ063E.Cumulative","PFQ063E.Skip.to.Item"
"10","Arthritis/rheumatism",4,4,NA
"11","Back or neck problem",5,9,NA
"12","Birth defect",0,9,NA
"13","Cancer",1,10,NA
"14","Depression/anxiety/emotional problem",7,17,NA
"15","Other developmental problem (such as cerebral palsy)",2,19,NA
"16","Diabetes",3,22,NA
"17","Fractures, bone/joint injury",12,34,NA
"18","Hearing problem",18,52,NA
"19","Heart problem",20,72,NA
"20","Hypertension/high blood pressure",36,108,NA
"21","Lung/breathing problem",30,138,NA
"22","Mental retardation",1,139,NA
"23","Other injury",5,144,NA
"24","Senility",0,144,NA
"25","Stroke problem",11,155,NA
"26","Vision/problem seeing",36,191,NA
"27","Weight problem",45,236,NA
"28","Other impairment/problem",26,262,NA
"77","Refused",0,262,NA
"99","Don't know",0,262,NA
".","Missing",8968,9230,NA
