"DMDYRSUS.Code.or.Value","DMDYRSUS.Value.Description","DMDYRSUS.Count","DMDYRSUS.Cumulative","DMDYRSUS.Skip.to.Item"
"1","Less than 1 year",111,111,NA
"2","1 year or more, but less than 5 years",273,384,NA
"3","5 year or more, but less than 10 years",269,653,NA
"4","10 year or more, but less than 15 years",285,938,NA
"5","15 year or more, but less than 20 years",241,1179,NA
"6","20 year or more, but less than 30 years",384,1563,NA
"7","30 year or more, but less than 40 years",281,1844,NA
"8","40 year or more, but less than 50 years",161,2005,NA
"9","50 years or more",130,2135,NA
"77","Refused",44,2179,NA
"99","Don't Know",57,2236,NA
".","Missing",7735,9971,NA
