"INDHHIN2.Code.or.Value","INDHHIN2.Value.Description","INDHHIN2.Count","INDHHIN2.Cumulative","INDHHIN2.Skip.to.Item"
"1","$ 0 to $ 4,999",250,250,NA
"2","$ 5,000 to $ 9,999",373,623,NA
"3","$10,000 to $14,999",537,1160,NA
"4","$15,000 to $19,999",600,1760,NA
"5","$20,000 to $24,999",627,2387,NA
"6","$25,000 to $34,999",1017,3404,NA
"7","$35,000 to $44,999",960,4364,NA
"8","$45,000 to $54,999",789,5153,NA
"9","$55,000 to $64,999",629,5782,NA
"10","$65,000 to $74,999",498,6280,NA
"12","$20,000 and Over",292,6572,NA
"13","Under $20,000",146,6718,NA
"14","$75,000 to $99,999",920,7638,NA
"15","$100,000 and Over",1634,9272,NA
"77","Refused",220,9492,NA
"99","Don't know",134,9626,NA
".","Missing",345,9971,NA
