"OHX08CSC.Code.or.Value","OHX08CSC.Value.Description","OHX08CSC.Count","OHX08CSC.Cumulative","OHX08CSC.Skip.to.Item"
"Coronal Caries:  Surface condition #8","Value was recorded",272,272,NA
"0","Lingual AMALGAM restoration",3,275,NA
"1","Occlusal AMALGAM restoration",0,275,NA
"2","Facial AMALGAM restoration",10,285,NA
"3","Mesial AMALGAM restoration",0,285,NA
"4","Distal AMALGAM restoration",0,285,NA
"5","Lingual OTHER restoration",15,300,NA
"6","Occlusal OTHER restoration",0,300,NA
"7","Facial OTHER restoration",11,311,NA
"8","Mesial OTHER restoration",127,438,NA
"9","Distal OTHER restoration",110,548,NA
"-1","Crown (non-specific full-coverage restoration)",179,727,NA
"-4","Lingual caries",7,734,NA
"-5","Occlusal caries",0,734,NA
"-6","Facial caries",22,756,NA
"-7","Mesial caries",80,836,NA
"-8","Distal caries",56,892,NA
"< blank >","Missing",8273,9165,NA
