"PFQ063A.Code.or.Value","PFQ063A.Value.Description","PFQ063A.Count","PFQ063A.Cumulative","PFQ063A.Skip.to.Item"
"10","Arthritis/rheumatism",751,751,NA
"11","Back or neck problem",474,1225,NA
"12","Birth defect",9,1234,NA
"13","Cancer",35,1269,NA
"14","Depression/anxiety/emotional problem",89,1358,NA
"15","Other developmental problem (such as cerebral palsy)",3,1361,NA
"16","Diabetes",78,1439,NA
"17","Fractures, bone/joint injury",102,1541,NA
"18","Hearing problem",28,1569,NA
"19","Heart problem",57,1626,NA
"20","Hypertension/high blood pressure",29,1655,NA
"21","Lung/breathing problem",29,1684,NA
"22","Mental retardation",6,1690,NA
"23","Other injury",28,1718,NA
"24","Senility",4,1722,NA
"25","Stroke problem",15,1737,NA
"26","Vision/problem seeing",32,1769,NA
"27","Weight problem",40,1809,NA
"28","Other impairment/problem",214,2023,NA
"77","Refused",2,2025,NA
"99","Don't know",13,2038,NA
".","Missing",6953,8991,NA
