"SMD100BR.Code.or.Value","SMD100BR.Value.Description","SMD100BR.Count","SMD100BR.Cumulative","SMD100BR.Skip.to.Item"
"1ST CLASS","1ST CLASS",1,1,NA
"305'S","305'S",14,15,NA
"305'S BLUE","305'S BLUE",8,23,NA
"305'S GOLD","305'S GOLD",4,27,NA
"305'S SILVER","305'S SILVER",2,29,NA
"BASIC GOLD","BASIC GOLD",1,30,NA
"BENSON & HEDGES","BENSON & HEDGES",2,32,NA
"BENSON & HEDGES SILVER","BENSON & HEDGES SILVER",1,33,NA
"BRONCO","BRONCO",1,34,NA
"CAMEL","CAMEL",17,51,NA
"CAMEL 99'S","CAMEL 99'S",1,52,NA
"CAMEL 99'S GOLD","CAMEL 99'S GOLD",2,54,NA
"CAMEL BLUE","CAMEL BLUE",17,71,NA
"CAMEL CRUSH","CAMEL CRUSH",20,91,NA
"CAMEL CRUSH BOLD","CAMEL CRUSH BOLD",3,94,NA
"CAMEL CRUSH FRESH","CAMEL CRUSH FRESH",10,104,NA
"CAMEL CRUSH SILVER","CAMEL CRUSH SILVER",4,108,NA
"CAMEL TURKISH ROYAL","CAMEL TURKISH ROYAL",3,111,NA
"CAMEL WIDES BLUE","CAMEL WIDES BLUE",1,112,NA
"CAPRI INDIGO","CAPRI INDIGO",3,115,NA
"CAPRI MAGENTA","CAPRI MAGENTA",1,116,NA
"CHEROKEE","CHEROKEE",1,117,NA
"CHEYENNE RED","CHEYENNE RED",1,118,NA
"CLASSIC","CLASSIC",2,120,NA
"COMMONWEALTH","COMMONWEALTH",3,123,NA
"CRAVEN A","CRAVEN A",2,125,NA
"DAVIDOFF","DAVIDOFF",1,126,NA
"DJARUM","DJARUM",1,127,NA
"DORAL","DORAL",3,130,NA
"DORAL GOLD","DORAL GOLD",3,133,NA
"DORAL RED","DORAL RED",1,134,NA
"DORAL SILVER","DORAL SILVER",1,135,NA
"DTC","DTC",2,137,NA
"DUNHILL","DUNHILL",2,139,NA
"EAGLE 20's","EAGLE 20's",1,140,NA
"EAGLE 20's GOLD","EAGLE 20's GOLD",1,141,NA
"EAGLE 20's RED","EAGLE 20's RED",2,143,NA
"EAGLE 20's SILVER","EAGLE 20's SILVER",1,144,NA
"ECHO","ECHO",1,145,NA
"EDGEFIELD","EDGEFIELD",1,146,NA
"GRAND PRIX RED","GRAND PRIX RED",1,147,NA
"GRAND PRIX SILVER","GRAND PRIX SILVER",1,148,NA
"KING MOUNTAIN GOLD","KING MOUNTAIN GOLD",2,150,NA
"KOOL","KOOL",17,167,NA
"KOOL SUPER LONGS","KOOL SUPER LONGS",2,169,NA
"L & M","L & M",25,194,NA
"L & M BLUE","L & M BLUE",5,199,NA
"L & M RED","L & M RED",5,204,NA
"LIGGETT SELECT RED","LIGGETT SELECT RED",1,205,NA
"MALIBU","MALIBU",1,206,NA
"MARLBORO","MARLBORO",163,369,NA
"MARLBORO BLACK","MARLBORO BLACK",12,381,NA
"MARLBORO BLEND NO. 27","MARLBORO BLEND NO. 27",10,391,NA
"MARLBORO BLEND NO. 54","MARLBORO BLEND NO. 54",1,392,NA
"MARLBORO BLUE","MARLBORO BLUE",1,393,NA
"MARLBORO EDGE BLACK","MARLBORO EDGE BLACK",3,396,NA
"MARLBORO GOLD","MARLBORO GOLD",104,500,NA
"MARLBORO GREEN","MARLBORO GREEN",19,519,NA
"MARLBORO MIDNIGHT BLACK","MARLBORO MIDNIGHT BLACK",2,521,NA
"MARLBORO NXT BLACK","MARLBORO NXT BLACK",3,524,NA
"MARLBORO NXT GREEN","MARLBORO NXT GREEN",2,526,NA
"MARLBORO RED","MARLBORO RED",6,532,NA
"MARLBORO SILVER","MARLBORO SILVER",23,555,NA
"MARLBORO SKYLINE","MARLBORO SKYLINE",1,556,NA
"MAVERICK","MAVERICK",21,577,NA
"MAVERICK GOLD","MAVERICK GOLD",2,579,NA
"MAVERICK RED","MAVERICK RED",1,580,NA
"MG AMERICAN BLEND","MG AMERICAN BLEND",1,581,NA
"MISTY BLUE","MISTY BLUE",1,582,NA
"MISTY GREEN","MISTY GREEN",11,593,NA
"MISTY ROSE","MISTY ROSE",2,595,NA
"MONTCLAIR","MONTCLAIR",1,596,NA
"NATIVE","NATIVE",5,601,NA
"NATURAL AMERICAN SPIRIT","NATURAL AMERICAN SPIRIT",20,621,NA
"NATURAL BLEND","NATURAL BLEND",3,624,NA
"NEWPORT","NEWPORT",229,853,NA
"NEWPORT BLUE","NEWPORT BLUE",1,854,NA
"NEWPORT GOLD","NEWPORT GOLD",7,861,NA
"PALL MALL","PALL MALL",12,873,NA
