"OSQ100c.Code.or.Value","OSQ100c.Value.Description","OSQ100c.Count","OSQ100c.Cumulative","OSQ100c.Skip.to.Item"
"10","HEAD/FACE",0,0,NA
"11","UPPER ARM (HUMERUS)",0,0,NA
"12","LOWER ARM BETWEEN WRIST AND ELBOW (DO NOT INCLUDE WRIST)",0,0,NA
"13","ELBOW",0,0,NA
"14","HAND",4,4,NA
"15","FINGERS",3,7,NA
"16","SHOULDER",1,8,NA
"17","COLLAR BONE",0,8,NA
"18","RIBS (EITHER SIDE)",0,8,NA
"19","PELVIS (NOT HIP)",0,8,NA
"20","UPPER LEG (THIGH EXCLUDING HIP)",0,8,NA
"21","LOWER LEG (BETWEEN ANKLE AND KNEE)",0,8,NA
"22","KNEE (PATELLA)",0,8,NA
"23","ANKLE",1,9,NA
"24","HEEL",0,9,NA
"25","FOOT",2,11,NA
"26","TOES",4,15,NA
"27","OTHER (DO NOT SPECIFY)",2,17,NA
"77","Refused",0,17,NA
"99","Don't know",0,17,NA
".","Missing",3052,3069,NA
