"PFQ063D.Code.or.Value","PFQ063D.Value.Description","PFQ063D.Count","PFQ063D.Cumulative","PFQ063D.Skip.to.Item"
"10","Arthritis/rheumatism",19,19,NA
"11","Back or neck problem",15,34,NA
"12","Birth defect",1,35,NA
"13","Cancer",5,40,NA
"14","Depression/anxiety/emotional problem",27,67,NA
"15","Other developmental problem (such as cerebral palsy)",0,67,NA
"16","Diabetes",44,111,NA
"17","Fractures, bone/joint injury",75,186,NA
"18","Hearing problem",81,267,NA
"19","Heart problem",59,326,NA
"20","Hypertension/high blood pressure",142,468,NA
"21","Lung/breathing problem",64,532,NA
"22","Mental retardation",9,541,NA
"23","Other injury",13,554,NA
"24","Senility",6,560,NA
"25","Stroke problem",16,576,NA
"26","Vision/problem seeing",96,672,NA
"27","Weight problem",53,725,NA
"28","Other impairment/problem",48,773,NA
"77","Refused",0,773,NA
"99","Don't know",0,773,NA
".","Missing",7648,8421,NA
