"PEASCCT1.Code.or.Value","PEASCCT1.Value.Description","PEASCCT1.Count","PEASCCT1.Cumulative","PEASCCT1.Skip.to.Item"
"1","Safety exclusion",4,4,NA
"2","SP refusal",16,20,NA
"3","No time",7,27,NA
"4","Physical limitation",14,41,NA
"5","Communication problem",1,42,NA
"6","Equipment failure",1,43,NA
"7","SP ill/emergency",12,55,NA
"56","Came late/left early",184,239,NA
"72","Error (technician/software/supply)",3,242,NA
"84","SP with child",4,246,NA
"99","Other, specify",69,315,NA
"122","Language barrier",5,320,NA
".","Missing",9493,9813,NA
