"DMDEDUC3.Code.or.Value","DMDEDUC3.Value.Description","DMDEDUC3.Count","DMDEDUC3.Cumulative","DMDEDUC3.Skip.to.Item"
"0","Never Attended / Kindergarten Only",239,239,NA
"1","1st Grade",216,455,NA
"2","2nd Grade",211,666,NA
"3","3rd Grade",222,888,NA
"4","4th Grade",213,1101,NA
"5","5th Grade",193,1294,NA
"6","6th Grade",165,1459,NA
"7","7th Grade",185,1644,NA
"8","8th Grade",166,1810,NA
"9","9th Grade",155,1965,NA
"10","10th Grade",193,2158,NA
"11","11th Grade",185,2343,NA
"12","12th Grade, No Diploma",36,2379,NA
"13","High School Graduate",94,2473,NA
"14","GED or Equivalent",13,2486,NA
"15","More than high school",95,2581,NA
"55","Less Than 5th Grade",2,2583,NA
"66","Less Than 9th Grade",11,2594,NA
"77","Refused",0,2594,NA
"99","Don't know",1,2595,NA
".","Missing",7942,10537,NA
