"INDHHIN2.Code.or.Value","INDHHIN2.Value.Description","INDHHIN2.Count","INDHHIN2.Cumulative","INDHHIN2.Skip.to.Item"
"1","$ 0 to $ 4,999",293,293,NA
"2","$ 5,000 to $ 9,999",472,765,NA
"3","$10,000 to $14,999",729,1494,NA
"4","$15,000 to $19,999",733,2227,NA
"5","$20,000 to $24,999",787,3014,NA
"6","$25,000 to $34,999",1116,4130,NA
"7","$35,000 to $44,999",913,5043,NA
"8","$45,000 to $54,999",619,5662,NA
"9","$55,000 to $64,999",405,6067,NA
"10","$65,000 to $74,999",421,6488,NA
"12","$20,000 and Over",337,6825,NA
"13","Under $20,000",132,6957,NA
"14","$75,000 to $99,999",804,7761,NA
"15","$100,000 and Over",1499,9260,NA
"77","Refused",252,9512,NA
"99","Don't know",163,9675,NA
".","Missing",81,9756,NA
