"INDHHINC.Code.or.Value","INDHHINC.Value.Description","INDHHINC.Count","INDHHINC.Cumulative","INDHHINC.Skip.to.Item"
"1","$     0 to $ 4,999",298,298,NA
"2","$ 5,000 to $ 9,999",654,952,NA
"3","$10,000 to $14,999",843,1795,NA
"4","$15,000 to $19,999",762,2557,NA
"5","$20,000 to $24,999",777,3334,NA
"6","$25,000 to $34,999",1118,4452,NA
"7","$35,000 to $44,999",804,5256,NA
"8","$45,000 to $54,999",607,5863,NA
"9","$55,000 to $64,999",509,6372,NA
"10","$65,000 to $74,999",371,6743,NA
"11","$75,000 and Over",1255,7998,NA
"12","Over $20,000",314,8312,NA
"13","Under $20,000",53,8365,NA
"77","Refused",41,8406,NA
"99","Don't know",41,8447,NA
".","Missing",1518,9965,NA
