"DMDYRSUS.Code.or.Value","DMDYRSUS.Value.Description","DMDYRSUS.Count","DMDYRSUS.Cumulative","DMDYRSUS.Skip.to.Item"
"1","Less than 1 year",68,68,NA
"2","1 year or more, but less than 5 years",241,309,NA
"3","5 year or more, but less than 10 years",188,497,NA
"4","10 year or more, but less than 15 years",207,704,NA
"5","15 year or more, but less than 20 years",248,952,NA
"6","20 year or more, but less than 30 years",335,1287,NA
"7","30 year or more, but less than 40 years",285,1572,NA
"8","40 year or more, but less than 50 years",176,1748,NA
"9","50 years or more",106,1854,NA
"77","Refused",35,1889,NA
"99","Don't Know",59,1948,NA
".","Missing",7306,9254,NA
