"DR1HELPD.Code.or.Value","DR1HELPD.Value.Description","DR1HELPD.Count","DR1HELPD.Cumulative","DR1HELPD.Skip.to.Item"
"1","SP",744,744,NA
"2","Mother of SP",372,1116,NA
"3","Father of SP",126,1242,NA
"4","Wife of SP",5,1247,NA
"5","Husband of SP",2,1249,NA
"6","Daughter of SP",21,1270,NA
"7","Son of SP",10,1280,NA
"8","Grandparent of SP",25,1305,NA
"9","Friend, Partner, Non Relative",4,1309,NA
"10","Translator, not a HH member",83,1392,NA
"11","Child care provider, Caretaker",7,1399,NA
"12","Other Relative",45,1444,NA
"13","No one",7063,8507,NA
"14","Other specify",0,8507,NA
"77","Refused",1,8508,NA
"99","Don't know",0,8508,NA
".","Missing",830,9338,NA
