"DR2FS.Code.or.Value","DR2FS.Value.Description","DR2FS.Count","DR2FS.Cumulative","DR2FS.Skip.to.Item"
"1","Store",89813,89813,NA
"2","Restaurant with waiter/waitress",5753,95566,NA
"3","Restaurant fast food/pizza",7045,102611,NA
"4","Bar/tavern/lounge",179,102790,NA
"5","Restaurant no additional information",6,102796,NA
"6","Cafeteria not at school",721,103517,NA
"7","Cafeteria at school",3927,107444,NA
"8","Child care center",350,107794,NA
"9","Family/adult day care center",68,107862,NA
"10","Soup kitchen/shelter/food pantry",22,107884,NA
"11","Meals on Wheels",55,107939,NA
"12","Community food program - other",86,108025,NA
"13","Community program no additional information",0,108025,NA
"14","Vending machine",432,108457,NA
"15","Common coffee pot or snack tray",372,108829,NA
"16","From someone else/gift",2907,111736,NA
"17","Mail order purchase",152,111888,NA
"18","Residential dining facility",139,112027,NA
"19","Grown or caught by you or someone you know",686,112713,NA
"20","Fish caught by you or someone you know",20,112733,NA
"24","Sport, recreation, or entertainment facility",266,112999,NA
"25","Street vendor, vending truck",242,113241,NA
"26","Fundraiser sales",58,113299,NA
"91","Other, specify",82,113381,NA
"99","Don't know",30,113411,NA
".","Missing",7930,121341,NA
