"DR2CCMTX.Code.or.Value","DR2CCMTX.Value.Description","DR2CCMTX.Count","DR2CCMTX.Cumulative","DR2CCMTX.Skip.to.Item"
"0","Non-combination food",66508,66508,NA
"1","Beverage w/ additions",8886,75394,NA
"2","Cereal w/ additions",4736,80130,NA
"3","Bread/baked products w/ additions",4317,84447,NA
"4","Salad",5280,89727,NA
"5","Sandwiches",12050,101777,NA
"6","Soup",561,102338,NA
"7","Frozen meals",32,102370,NA
"8","Ice cream/frozen yogurt w/ additions",238,102608,NA
"9","Dried beans and vegetable w/ additions",2679,105287,NA
"10","Fruit w/ additions",526,105813,NA
"11","Tortilla products",1231,107044,NA
"12","Meat, poultry, fish",1755,108799,NA
"13","LunchablesÂ®",215,109014,NA
"14","Chips w/ additions",369,109383,NA
"90","Other mixtures",3195,112578,NA
".","Missing",0,112578,NA
