"DR2HELPD.Code.or.Value","DR2HELPD.Value.Description","DR2HELPD.Count","DR2HELPD.Cumulative","DR2HELPD.Skip.to.Item"
"1","SP",318,318,NA
"2","Mother of SP",286,604,NA
"3","Father of SP",52,656,NA
"4","Wife of SP",162,818,NA
"5","Husband of SP",21,839,NA
"6","Daughter of SP",14,853,NA
"7","Son of SP",3,856,NA
"8","Grandparent of SP",13,869,NA
"9","Friend, Partner, Non Relative",5,874,NA
"10","Translator, not a HH member",6,880,NA
"11","Child care provider, Caretaker",11,891,NA
"12","Other Relative",38,929,NA
"13","No one",7474,8403,NA
"14","Other specify",0,8403,NA
"77","Refused",0,8403,NA
"99","Don't know",5,8408,NA
".","Missing",1542,9950,NA
